,err_kdf,err_rf,kappa_kdf,kappa_rf,ece_kdf,ece_rf,rep,samples
31,0.38787878787878793,0.34696969696969693,0.569023569023569,0.6144781144781144,0.4178600793060041,0.133860606060606,1,30
32,0.31666666666666665,0.3242424242424242,0.6481481481481481,0.6397306397306398,0.5050531955516804,0.19944242424242417,2,30
33,0.3772727272727273,0.38636363636363635,0.5808080808080809,0.5707070707070707,0.436729997321361,0.1276969696969697,3,30
34,0.3712121212121212,0.3606060606060606,0.5875420875420876,0.5993265993265993,0.2430923192528994,0.1621272727272727,4,30
35,0.37575757575757573,0.33939393939393936,0.5824915824915824,0.6228956228956228,0.48448447506448494,0.18225454545454542,5,30
36,0.42272727272727273,0.35,0.5303030303030303,0.6111111111111112,0.4052692301255786,0.17945151515151517,6,30
37,0.38030303030303025,0.41515151515151516,0.5774410774410774,0.5387205387205388,0.45267965605777993,0.13373333333333334,7,30
38,0.3833333333333333,0.3727272727272727,0.5740740740740741,0.5858585858585859,0.19142258324624425,0.1280575757575757,8,30
39,0.42272727272727273,0.3727272727272727,0.5303030303030303,0.5858585858585859,0.39645623069364844,0.16346363636363634,9,30
40,0.47878787878787876,0.48484848484848486,0.4680134680134681,0.4612794612794613,0.38012805845716363,0.08295454545454548,10,30
41,0.49696969696969695,0.45606060606060606,0.44781144781144766,0.4932659932659934,0.3565544780172273,0.09147272727272729,11,30
42,0.4878787878787879,0.43939393939393945,0.45791245791245794,0.5117845117845118,0.1948381743838159,0.10458181818181818,12,30
43,0.4575757575757575,0.3848484848484849,0.49158249158249145,0.5723905723905724,0.31629799955868376,0.14493030303030305,13,30
44,0.3606060606060606,0.3378787878787879,0.5993265993265993,0.6245791245791246,0.2084885182491344,0.1661212121212121,14,30
45,0.33333333333333337,0.36818181818181817,0.6296296296296298,0.5909090909090908,0.459917106635168,0.1360909090909091,15,30
46,0.4757575757575757,0.39848484848484844,0.47138047138047134,0.5572390572390573,0.19352964339759055,0.14107575757575758,16,30
47,0.32727272727272727,0.35757575757575755,0.6363636363636362,0.6026936026936027,0.47939820508372066,0.15348484848484847,17,30
48,0.36818181818181817,0.4196969696969697,0.5909090909090908,0.5336700336700335,0.2383245536992307,0.13779393939393939,18,30
49,0.4075757575757576,0.4303030303030303,0.5471380471380471,0.5218855218855218,0.27313108999709457,0.09681212121212125,19,30
50,0.40303030303030307,0.3712121212121212,0.552188552188552,0.5875420875420876,0.29054789470062087,0.1308424242424243,20,30
51,0.4075757575757576,0.37575757575757573,0.5471380471380469,0.5824915824915825,0.41028952055172946,0.13964848484848483,21,30
